,jpy,can,cny,interest,inflation
0,91.12,1.2101,6.8225,2.46,0.17
1,93.2,1.192,6.83,2.49,0.15
2,94.2,1.1822,6.836,2.51,0.42
3,92.7,1.185,6.833,2.52,0.47
4,91.15,1.189,6.8342,2.47,0.5
5,90.25,1.192,6.835,2.43,0.56
6,88.92,1.2075,6.8362,2.34,0.59
7,89.65,1.2255,6.8341,2.33,0.59
8,89.28,1.2373,6.8347,2.24,0.45
9,89.59,1.2623,6.8363,2.23,0.45
10,90.29,1.254,6.8369,2.36,0.55
12,90.19,1.2604,6.8403,2.4,0.58
13,87.8,1.2749,6.8392,2.56,0.58
14,88.64,1.2624,6.837,2.62,0.65
15,88.72,1.2478,6.8392,2.65,0.72
16,89.25,1.22,6.8392,2.7,0.78
17,88.99,1.2292,6.8392,2.59,0.82
18,88.87,1.2096,6.8392,2.71,0.9
19,89.77,1.2187,6.8392,2.87,1.04
20,89.83,1.2365,6.8392,2.87,1.14
21,89.86,1.2408,6.847,2.76,1.07
22,89.09,1.2334,6.8399,2.89,1.13
23,89.53,1.2268,6.8335,2.95,1.17
24,91.01,1.2307,6.8355,2.95,1.11
25,91.95,1.2388,6.8338,3.05,1.23
26,91.47,1.219,6.8392,3.07,1.41
27,90.65,1.2332,6.8241,2.9,1.25
28,90.66,1.2418,6.8332,2.78,1.12
29,90.55,1.2478,6.8345,2.75,1.14
30,91.84,1.2435,6.8392,2.89,1.21
32,92.17,1.2606,6.8355,2.64,1.11
33,93.81,1.2592,6.8378,2.74,1.11
34,94.09,1.259,6.8348,2.85,1.12
35,93.87,1.2543,6.8367,2.78,1.11
36,94.63,1.2508,6.8355,2.78,1.08
37,96.6,1.2468,6.8368,2.8,0.98
38,97.33,1.2558,6.8369,2.95,0.97
39,98.55,1.2455,6.8361,2.98,0.96
40,97.74,1.271,6.8395,3.02,0.96
41,97.17,1.2891,6.8438,2.91,0.91
42,98.16,1.2937,6.8413,2.93,0.91
43,99.34,1.2768,6.8432,3.01,0.92
44,98.32,1.2875,6.8406,2.83,0.85
45,97.88,1.2865,6.8395,2.83,0.81
46,98.87,1.2995,6.8398,2.89,0.83
47,98.39,1.2796,6.841,2.99,0.84
48,97.74,1.2808,6.8399,2.95,0.92
49,97.86,1.2909,6.8383,2.89,1.01
50,98.04,1.2752,6.838,2.89,1.02
51,98.17,1.2723,6.8381,2.97,1.09
52,98.85,1.2717,6.8369,3.02,1.12
53,98.08,1.2715,6.8347,2.51,1.23
54,93.85,1.2336,6.824,2.61,1.3
55,96.18,1.237,6.8277,2.65,1.22
56,97.3,1.2322,6.8335,2.68,1.28
57,97.86,1.2263,6.8294,2.68,1.32
58,97.7,1.2245,6.8304,2.81,1.37
59,98.47,1.2327,6.832,2.76,1.46
60,97.99,1.2392,6.831,2.78,1.4
61,97.44,1.2582,6.836,2.73,1.34
62,99.15,1.2606,6.8329,2.71,1.28
63,98.93,1.264,6.8339,2.68,1.31
64,99.48,1.238,6.834,2.77,1.33
65,99.94,1.2335,6.8343,2.91,1.38
66,100.65,1.2427,6.8343,2.95,1.43
67,100.71,1.2339,6.8361,2.93,1.32
68,99.95,1.2353,6.835,2.86,1.29
69,100.43,1.2273,6.834,2.96,1.34
71,100.12,1.221,6.8347,2.88,1.33
72,99.08,1.2093,6.832,2.8,1.28
73,99.37,1.204,6.8321,2.82,1.27
74,99.29,1.2062,6.8316,2.86,1.27
75,99.21,1.2146,6.8325,2.98,1.28
76,98.29,1.2338,6.8331,2.88,1.22
77,98.6,1.2373,6.8254,2.94,1.25
78,98.14,1.2361,6.8296,2.98,1.33
79,97.88,1.2291,6.8265,2.96,1.44
80,97.08,1.2095,6.825,3.03,1.5
81,96.57,1.2106,6.827,2.95,1.47
82,96.49,1.2238,6.8266,3.05,1.51
83,96.97,1.2008,6.8243,3.12,1.53
84,98.76,1.1939,6.818,3.16,1.47
85,99.24,1.1868,6.818,3.21,1.41
86,99.12,1.1779,6.8223,3.19,1.42
87,98.76,1.1758,6.8185,3.2,1.43
88,98.6,1.1726,6.8176,3.18,1.44
89,99,1.1714,6.8215,3.29,1.55
90,99.01,1.158,6.82,3.29,1.52
91,97.45,1.1591,6.823,3.17,1.47
92,96.59,1.1671,6.821,3.17,1.48
93,95.75,1.1686,6.822,3.11,1.44
94,95.62,1.1726,6.8248,3.1,1.42
95,94.89,1.1756,6.8225,3.14,1.48
96,96.05,1.1656,6.8265,3.22,1.56
97,96.1,1.1567,6.8245,3.25,1.6
98,95.16,1.1434,6.8248,3.19,1.63
99,94.97,1.1412,6.8245,3.35,1.68
100,94.45,1.1234,6.8227,3.45,1.73
102,94.81,1.1199,6.8326,3.5,1.78
103,95.01,1.112,6.8272,3.71,1.88
104,96.76,1.1123,6.8278,3.67,1.8
105,95.55,1.0957,6.8278,3.47,1.8
106,96.53,1.087,6.8264,3.71,1.91
107,95.72,1.0828,6.8305,3.65,1.96
108,95.72,1.0973,6.829,3.56,1.88
109,96.37,1.0997,6.8331,3.72,1.89
110,98.18,1.1144,6.8329,3.84,1.96
111,98.56,1.1228,6.8371,3.91,1.97
112,97.6,1.1042,6.8353,3.86,1.98
113,98.13,1.11,6.833,3.98,2.07
114,97.83,1.0977,6.8358,3.88,1.99
115,98.17,1.117,6.8352,3.81,1.9
116,98.03,1.1338,6.8361,3.76,1.86
117,96.26,1.1325,6.8338,3.67,1.79
118,95.65,1.1371,6.8364,3.68,1.73
119,96.36,1.1273,6.8344,3.86,1.88
120,96.15,1.1287,6.836,3.79,1.88
121,95.9,1.1547,6.834,3.72,1.83
122,95.32,1.1557,6.8346,3.65,1.81
123,95.38,1.1462,6.8307,3.72,1.79
124,96.21,1.1576,6.8344,3.55,1.73
125,95.19,1.1527,6.833,3.52,1.67
126,95.84,1.158,6.8334,3.51,1.68
127,96.42,1.1626,6.8302,3.53,1.75
128,96.41,1.1446,6.8331,3.55,1.72
129,95.9,1.16,6.8312,3.51,1.64
131,95,1.1608,6.8342,3.52,1.49
132,95.11,1.163,6.8326,3.47,1.6
133,92.9,1.165,6.8323,3.33,1.54
134,92.79,1.1623,6.8317,3.44,1.57
135,92.33,1.1649,6.8325,3.32,1.52
136,92.74,1.1541,6.8326,3.38,1.54
137,93.03,1.1401,6.833,3.5,1.64
138,94.09,1.1192,6.8315,3.63,1.76
139,93.59,1.1172,6.831,3.59,1.77
140,94.08,1.1168,6.8309,3.67,1.86
141,94.52,1.1065,6.8303,3.61,1.88
142,93.36,1.1077,6.83,3.5,1.79
143,93.77,1.098,6.8305,3.58,1.83
144,94.75,1.0867,6.8308,3.72,1.92
145,94.86,1.0843,6.8313,3.7,1.89
146,95.32,1.0833,6.8312,3.75,1.9
147,94.6,1.0802,6.8308,3.72,1.86
148,95.13,1.0881,6.8314,3.69,1.85
149,95.67,1.0814,6.8321,3.67,1.89
150,94.54,1.0791,6.8319,3.52,1.81
151,95.23,1.065,6.8308,3.66,1.88
152,95.41,1.0685,6.8302,3.7,1.89
153,94.98,1.0722,6.8307,3.8,1.95
154,95.56,1.076,6.8312,3.79,1.92
155,97.65,1.0838,6.8316,3.89,2.01
156,97.23,1.0848,6.8341,3.8,1.97
157,95.94,1.0987,6.8349,3.71,1.91
158,96.16,1.0875,6.8349,3.72,1.88
159,95.46,1.0881,6.8336,3.59,1.79
160,94.64,1.0973,6.8341,3.55,1.7
161,94.33,1.1077,6.8358,3.48,1.69
162,94.72,1.1097,6.8337,3.51,1.73
163,93.87,1.0968,6.834,3.45,1.75
164,94.12,1.0902,6.8317,3.42,1.82
165,94.6,1.0799,6.8313,3.56,1.87
166,94.47,1.074,6.8308,3.48,1.81
167,94.28,1.0727,6.8318,3.45,1.73
168,94.25,1.0988,6.8309,3.44,1.72
169,93.57,1.0961,6.8316,3.47,1.72
170,93.55,1.0875,6.83,3.46,1.7
171,92.82,1.0967,6.8299,3.4,1.64
172,93.09,1.1028,6.8295,3.38,1.64
173,92.43,1.106,6.8303,3.29,1.58
174,92.54,1.1034,6.8298,3.33,1.64
175,92.75,1.0894,6.8293,3.45,1.75
177,92.21,1.0762,6.827,3.47,1.81
178,91.85,1.0783,6.8286,3.48,1.82
179,91.86,1.0811,6.8291,3.36,1.77
180,90.3,1.0742,6.828,3.34,1.75
181,90.85,1.0859,6.8282,3.42,1.77
182,90.95,1.076,6.8289,3.47,1.83
183,91,1.0662,6.8247,3.48,1.86
184,91.15,1.0615,6.8262,3.42,1.8
185,91.31,1.0721,6.827,3.49,1.81
186,91.87,1.0775,6.8287,3.49,1.8
187,91.08,1.0683,6.8268,3.46,1.81
188,91.45,1.0722,6.8254,3.44,1.81
189,91.16,1.0864,6.8263,3.4,1.76
190,89.83,1.0918,6.8273,3.34,1.74
191,89.34,1.086,6.8265,3.31,1.74
192,90.26,1.0872,6.8273,3.31,1.72
193,89.49,1.0719,6.8262,3.31,1.75
194,89.73,1.0773,6.826,3.21,1.71
195,89.62,1.0843,6.826,3.24,1.7
196,89.56,1.0755,6.826,3.24,1.73
197,88.77,1.057,6.826,3.27,1.74
198,88.76,1.0619,6.826,3.21,1.76
199,88.44,1.0533,6.826,3.27,1.78
200,89.69,1.0425,6.8248,3.4,1.84
202,89.71,1.0297,6.8264,3.34,1.88
203,89.44,1.0289,6.8261,3.45,1.94
204,90.39,1.0304,6.827,3.49,1.99
205,90.73,1.0389,6.8266,3.43,1.98
206,90.72,1.0307,6.8266,3.41,2.03
207,90.83,1.0494,6.8254,3.35,1.98
208,91.04,1.0413,6.8272,3.42,1.99
209,91.42,1.0476,6.8287,3.44,1.95
210,91.88,1.0507,6.828,3.51,2
211,91.96,1.0618,6.8278,3.59,2
212,92.04,1.0644,6.8292,3.49,2
213,91.07,1.0757,6.827,3.44,1.96
214,91.41,1.0702,6.8269,3.53,2.03
215,90.5,1.0767,6.8264,3.41,2
216,90.56,1.0742,6.8268,3.45,2.04
217,90.3,1.0701,6.8278,3.5,2.05
218,90.96,1.0644,6.8265,3.57,2.12
219,90.45,1.0649,6.8269,3.57,2.16
220,89.86,1.0717,6.8266,3.54,2.17
221,89.92,1.0563,6.8261,3.52,2.22
222,89.82,1.0516,6.8255,3.5,2.19
224,90.4,1.0513,6.8267,3.45,2.12
225,89.55,1.05,6.826,3.43,2.12
226,89.28,1.0458,6.8263,3.33,2.12
227,89.41,1.0589,6.826,3.33,2.13
228,89.36,1.0496,6.8269,3.36,2.15
229,88.95,1.0634,6.8283,3.35,2.14
230,88.9,1.0698,6.8277,3.36,2.15
231,89.14,1.055,6.83,3.37,2.17
232,88.58,1.0608,6.8292,3.32,2.11
233,87.65,1.0499,6.8272,3.28,2.12
235,86.87,1.062,6.8272,3.21,2.06
236,86.12,1.057,6.8265,3.21,2.08
237,86.62,1.043,6.827,3.28,2.14
238,87.13,1.0465,6.826,3.32,2.14
239,88.2,1.0539,6.8269,3.39,2.15
240,89.87,1.0515,6.8261,3.48,2.14
241,89.44,1.0508,6.8288,3.44,2.13
242,88.41,1.0599,6.8275,3.4,2.09
243,87.83,1.055,6.8275,3.45,2.09
244,88.2,1.0518,6.8264,3.49,2.09
245,89.23,1.0583,6.8269,3.55,2.14
246,88.65,1.059,6.8281,3.56,2.19
247,89.91,1.0622,6.827,3.6,2.23
248,89.52,1.0579,6.8279,3.61,2.27
249,90.35,1.0713,6.8286,3.5,2.22
250,90.47,1.0679,6.828,3.55,2.24
251,90.95,1.0592,6.8284,3.69,2.3
252,91.67,1.0555,6.8285,3.76,2.33
253,91.52,1.0476,6.8282,3.77,2.31
254,91.69,1.0485,6.8271,3.82,2.32
256,91.57,1.043,6.8299,3.85,2.35
257,91.95,1.04,6.8289,3.82,2.36
258,92.66,1.0523,6.8244,3.8,2.36
259,93.08,1.0461,6.8259,3.85,2.37
261,92.55,1.0377,6.8273,3.85,2.38
262,91.48,1.0371,6.8258,3.77,2.34
263,92.53,1.0333,6.8272,3.85,2.37
264,93.31,1.0351,6.828,3.85,2.41
265,92.7,1.0345,6.8274,3.83,2.42
266,91.9,1.0317,6.8263,3.85,2.38
267,90.95,1.0374,6.8267,3.74,2.39
268,91.38,1.0319,6.8295,3.8,2.37
269,91.03,1.026,6.8265,3.76,2.36
270,90.79,1.0287,6.8269,3.7,2.36
272,91.13,1.0325,6.8268,3.73,2.38
273,91.23,1.0477,6.8258,3.68,2.37
274,90.25,1.0483,6.8268,3.62,2.33
275,90.07,1.0561,6.827,3.62,2.31
276,90.12,1.0582,6.8268,3.66,2.33
277,89.63,1.0669,6.8263,3.65,2.34
278,89.41,1.0657,6.8268,3.66,2.31
279,90.08,1.0584,6.8267,3.68,2.33
280,90.38,1.0652,6.8268,3.63,2.33
281,90.8,1.0651,6.826,3.68,2.39
282,90.39,1.0607,6.827,3.67,2.41
283,91.11,1.0608,6.826,3.73,2.43
284,89.11,1.0735,6.828,3.62,2.35
285,89.25,1.0727,6.8275,3.59,2.27
286,89.32,1.0692,6.8265,3.62,2.27
287,89.45,1.069,6.8267,3.67,2.3
288,89.88,1.0667,6.828,3.72,2.28
289,89.82,1.0522,6.8328,3.73,2.26
290,90,1.0529,6.8326,3.69,2.23
292,90.46,1.0427,6.8326,3.66,2.24
293,90.79,1.0455,6.8326,3.74,2.28
294,91.43,1.045,6.833,3.79,2.31
295,91.94,1.0419,6.829,3.78,2.26
296,91.11,1.0428,6.8264,3.8,2.25
297,90.04,1.0517,6.8267,3.69,2.19
298,90.06,1.0551,6.8269,3.7,2.19
299,88.85,1.0675,6.8267,3.64,2.13
300,88.84,1.052,6.8258,3.61,2.13
301,89.28,1.0421,6.8263,3.61,2.15
302,88.95,1.0325,6.8265,3.62,2.16
303,88.43,1.0286,6.8258,3.63,2.17
304,89.02,1.0307,6.8258,3.61,2.17
305,90.32,1.0284,6.826,3.69,2.21
306,90.3,1.0286,6.8261,3.72,2.23
307,89.89,1.0249,6.8263,3.71,2.23
308,90.62,1.0241,6.8259,3.73,2.24
309,90.6,1.0262,6.8266,3.73,2.24
310,90.46,1.0187,6.8254,3.71,2.26
311,90.45,1.0216,6.8259,3.71,2.25
312,90.43,1.0147,6.8257,3.66,2.24
313,90.42,1.011,6.8259,3.65,2.25
314,90.46,1.0139,6.8261,3.68,2.23
315,90.5,1.0153,6.8265,3.7,2.2
316,90.02,1.0193,6.8266,3.67,2.19
317,90.24,1.0176,6.8263,3.69,2.2
318,91.89,1.0268,6.8266,3.84,2.24
319,92.69,1.0188,6.827,3.91,2.26
320,92.56,1.0283,6.8269,3.86,2.24
321,92.65,1.0201,6.8264,3.88,2.22
322,92.89,1.0189,6.8258,3.88,2.22
323,93.4,1.0156,6.8258,3.84,2.24
324,93.83,1.0073,6.8263,3.89,2.28
325,94.51,1.011,6.8255,3.96,2.27
326,94.28,1.0025,6.8256,4.01,2.31
327,93.81,1.0001,6.825,3.98,2.3
328,93.59,1.0028,6.8254,3.89,2.34
329,93.16,1.0019,6.824,3.91,2.33
330,93.28,1.0055,6.8229,3.9,2.34
331,93.21,1.0015,6.8252,3.87,2.35
332,92.78,1.0029,6.8255,3.84,2.34
333,93.01,0.996,6.8258,3.88,2.34
334,93.04,1.0013,6.826,3.86,2.37
335,92.03,1.0145,6.8253,3.79,2.33
336,92.18,1.0199,6.8262,3.83,2.34
337,93.28,0.9984,6.8253,3.82,2.35
338,93.24,0.9983,6.8275,3.77,2.35
339,93.01,1.0014,6.8263,3.8,2.34
340,94.18,1.0026,6.827,3.84,2.37
341,94.06,1.0009,6.8266,3.83,2.37
342,93.01,1.0169,6.8256,3.71,2.34
343,94.07,1.0125,6.8245,3.8,2.4
344,94.16,1.0052,6.8259,3.76,2.45
345,94.24,1.0112,6.8247,3.69,2.4
346,94.68,1.0134,6.8245,3.72,2.4
347,94.58,1.0215,6.826,3.63,2.32
348,94.3,1.0264,6.8263,3.58,2.28
349,92.22,1.0437,6.8265,3.41,2.16
350,91.67,1.0423,6.8254,3.45,2.15
351,93.39,1.0245,6.8263,3.57,2.24
352,92.83,1.0193,6.8285,3.56,2.25
353,92.93,1.0197,6.827,3.56,2.28
354,92.7,1.0148,6.8278,3.55,2.27
355,91.94,1.0343,6.8263,3.44,2.18
356,92.08,1.04,6.8274,3.47,2.16
357,92.52,1.0329,6.8273,3.38,2.13
358,91.16,1.051,6.8269,3.36,2.04
359,90.07,1.0656,6.8277,3.25,1.89
360,90.21,1.0564,6.8262,3.2,1.87
361,90.49,1.0587,6.8286,3.23,1.88
362,89.89,1.0776,6.831,3.18,1.85
363,90.28,1.0647,6.8292,3.21,1.91
364,90.71,1.0491,6.8296,3.34,2.01
365,90.81,1.0497,6.8305,3.31,1.99
367,91.16,1.0476,6.8275,3.29,1.97
368,92.21,1.0404,6.8296,3.35,1.99
369,92.33,1.0413,6.8283,3.39,2.05
370,91.83,1.0516,6.8268,3.2,1.94
371,92,1.0537,6.8322,3.17,1.92
372,91.3,1.0517,6.8294,3.18,1.89
373,91.54,1.0395,6.8285,3.2,1.92
374,91.04,1.0336,6.8305,3.33,1.98
375,91.72,1.0329,6.832,3.24,1.95
376,91.8,1.0251,6.8323,3.28,1.97
377,91.25,1.0287,6.8323,3.32,2
378,91.39,1.0236,6.8323,3.27,1.99
379,90.92,1.0283,6.829,3.21,1.99
380,90.79,1.0237,6.8267,3.24,1.99
381,91.18,1.0197,6.7968,3.26,2.02
382,90.59,1.0201,6.8127,3.18,1.98
383,89.82,1.039,6.8124,3.13,1.94
384,89.4,1.0429,6.8001,3.14,1.91
385,89.35,1.0369,6.7911,3.12,1.91
386,89.23,1.0337,6.796,3.05,1.88
387,88.39,1.0531,6.7977,2.97,1.83
388,88.49,1.0606,6.7815,2.97,1.82
389,87.42,1.0622,6.7807,2.96,1.75
390,87.69,1.0647,6.7709,3,1.73
392,87.55,1.0497,6.7801,2.95,1.69
393,87.16,1.0525,6.777,3,1.7
394,88.44,1.041,6.7763,3.04,1.79
395,88.48,1.0328,6.772,3.07,1.81
396,88.53,1.0377,6.7709,3.08,1.82
397,88.24,1.0281,6.772,3.15,1.87
398,88.59,1.0304,6.7714,3.07,1.84
399,87.41,1.0401,6.7774,3,1.79
400,86.4,1.0536,6.775,2.96,1.71
401,86.77,1.0557,6.778,2.99,1.7
402,87.22,1.0526,6.7781,2.98,1.7
403,87.3,1.0422,6.7769,2.9,1.71
404,87,1.0373,6.7795,2.96,1.75
405,87.31,1.0376,6.7803,3.02,1.78
406,87.2,1.0312,6.7788,3.03,1.79
407,87.88,1.0357,6.7781,3.08,1.82
408,87.62,1.0356,6.778,3.03,1.81
409,86.87,1.0368,6.776,3.03,1.82
410,86.43,1.0293,6.7735,2.94,1.8
411,86.42,1.0227,6.774,2.99,1.86
412,85.88,1.0219,6.7728,2.94,1.87
413,86.26,1.0184,6.772,2.98,1.86
414,85.83,1.0154,6.7705,2.94,1.87
415,85.25,1.0272,6.768,2.86,1.82
416,85.88,1.0266,6.767,2.86,1.82
417,85.88,1.0347,6.772,2.79,1.84
418,85.36,1.0455,6.7745,2.72,1.77
419,85.83,1.0433,6.7843,2.74,1.69
420,86.2,1.04,6.7957,2.68,1.68
421,85.33,1.0429,6.8038,2.58,1.63
422,85.51,1.0311,6.792,2.64,1.63
423,85.31,1.0286,6.7911,2.64,1.62
424,85.27,1.0397,6.7897,2.58,1.56
425,85.63,1.0499,6.79,2.62,1.57
426,85.16,1.0512,6.7995,2.6,1.55
427,84.16,1.0563,6.7966,2.5,1.49
428,84.56,1.064,6.7995,2.54,1.53
429,84.61,1.0545,6.7998,2.5,1.55
430,85.1,1.0547,6.7977,2.66,1.61
431,84.67,1.0561,6.8029,2.54,1.55
432,84.1,1.064,6.8069,2.47,1.52
433,84.48,1.0497,6.8102,2.58,1.56
434,84.15,1.052,6.807,2.63,1.58
435,84.45,1.0411,6.8014,2.72,1.62
437,83.75,1.0426,6.7906,2.61,1.63
438,83.85,1.0359,6.794,2.66,1.64
439,83.83,1.0323,6.782,2.77,1.72
440,84.13,1.0357,6.769,2.81,1.79
441,83.53,1.0277,6.7595,2.74,1.8
442,83.05,1.0219,6.743,2.68,1.75
443,85.63,1.0281,6.738,2.74,1.77
444,85.72,1.0274,6.725,2.77,1.77
445,85.77,1.0331,6.723,2.75,1.75
446,85.74,1.028,6.7135,2.72,1.78
447,85.36,1.0314,6.7059,2.61,1.83
448,84.37,1.0325,6.7035,2.56,1.82
449,84.32,1.0307,6.7046,2.56,1.79
450,84.24,1.0262,6.7035,2.62,1.81
451,84.17,1.026,6.6911,2.54,1.75
452,83.82,1.0305,6.6904,2.48,1.79
453,83.61,1.03,6.6869,2.52,1.78
454,83.53,1.0293,6.6905,2.53,1.78
455,83.3,1.0214,6.6895,2.54,1.79
456,83.33,1.0235,6.6912,2.5,1.78
457,83.17,1.0169,6.6906,2.5,1.85
458,82.8,1.0073,6.6893,2.41,1.89
459,82.35,1.0167,6.6903,2.41,1.88
460,81.86,1.0138,6.671,2.41,1.96
462,81.74,1.0111,6.6733,2.44,1.95
463,81.81,1.0028,6.6634,2.46,2.02
464,81.44,1.0036,6.6505,2.52,2.11
465,81.32,1.0108,6.6397,2.59,2.09
466,81.16,1.0145,6.644,2.52,2.05
467,81.6,1.0298,6.6444,2.5,2.06
468,81.14,1.0245,6.6518,2.51,2.04
469,81.16,1.0232,6.6502,2.57,2.07
470,81.48,1.0262,6.6583,2.59,2.09
471,80.61,1.0197,6.6579,2.59,2.14
472,81.28,1.022,6.6625,2.67,2.15
473,81.55,1.0321,6.6805,2.75,2.13
474,80.99,1.0194,6.6867,2.69,2.12
475,80.48,1.0187,6.6707,2.63,2.13
476,80.66,1.0133,6.6892,2.66,2.17
477,80.8,1.0098,6.6775,2.63,2.14
478,81.41,1.009,6.6758,2.67,2.17
479,80.61,1.0022,6.6609,2.53,2.09
480,81.35,1.0012,6.655,2.58,2.1
481,81.14,1.0021,6.6791,2.6,2.12
482,81.15,1.0013,6.6424,2.72,2.14
483,82.53,1.0016,6.6335,2.65,2.09
485,82.44,1.0079,6.6368,2.76,2.05
486,82.9,1.0064,6.6418,2.92,2.05
487,83.41,1.0231,6.6378,2.85,1.98
488,83.15,1.0205,6.6415,2.89,2.05
489,83.64,1.0172,6.633,2.9,2.07
490,83.49,1.0206,6.6398,2.88,2.11
491,83.46,1.0187,6.6414,2.8,2.1
492,82.86,1.024,6.6433,2.77,2.08
